PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl
VvRNE,3r1r2/p4k2/7R/1p3p2/4Nq2/2P2P1Q/PP2K3/8 b - - 0 34,f5e4 h3e6 f7g7 e6g6,1572,75,100,1037,endgame mate mateIn2 short,https://lichess.org/3N7pbuen/black#68
WivI8,5rk1/1p1npp1p/1p3np1/5r2/3B4/2N2P2/PP4PP/R2R2K1 b - - 0 18,f6d5 g2g4 f5f3 c3d5,1922,101,33,22,advantage middlegame short,https://lichess.org/loqwGFyR/black#36
WivOO,8/8/5p1k/p2P2pp/3R4/6P1/P1rQ1PKP/1q6 w - - 3 41,d2a5 b1b2 d4d2 c2d2,1868,79,69,47,crushing endgame short,https://lichess.org/lxYiUej2#81
Wivrl,5nk1/r6p/1p2p1pQ/p2pP1NN/3n4/1P4R1/5PPK/q7 b - - 1 33,d4f5 h5f6 g8h8 h6f8,1424,76,98,2006,deflection kingsideAttack mate mateIn2 middlegame short,https://lichess.org/lQ9uS64n/black#66
Wiw7z,8/6p1/5p2/p1N1p1k1/3bP2p/1P3P1P/1r4PK/2R5 b - - 9 42,g5f4 c5d3 f4e3 d3b2,1634,75,98,3345,advantage endgame fork short,https://lichess.org/TVZdtvAb/black#84
WiwAn,3Q2k1/1p3ppp/p7/2pP4/q7/2P5/1P2rPPP/4R1K1 b - - 1 23,a4e8 d8e8 e2e8 e1e8,765,90,84,156,backRankMate endgame mate mateIn2 short xRayAttack,https://lichess.org/KqxU5EzS/black#46
WiwBq,3r4/p7/1p3k2/2pr2p1/P1N1Pp1P/1P6/2P3P1/R3K3 b - - 0 38,d5d1 a1d1 d8d1 e1d1,759,99,84,149,crushing endgame short,https://lichess.org/XwTjXSu1/black#76
WiwXs,2krr3/ppp2pp1/6p1/2Q5/4p3/4Bq2/PPP1KP2/R5R1 w - - 2 21,e2f1 d8d1 a1d1 f3d1,1076,78,81,109,crushing middlegame short,https://lichess.org/EnNtzWN2#41
WiwuR,1k4r1/p2r4/1B3p2/4p3/2P3qp/Q2P4/1P3Pp1/R3K1R1 b - - 0 34,a7b6 a3a8 b8c7 a1a7 c7d6 a8d5 d6e7 a7d7 g4d7 d5g8,1908,74,98,263,crushing endgame exposedKing veryLong,https://lichess.org/EISFwiXA/black#68
Wiwxe,rnb2rk1/1p2bppp/p3pn2/4N3/8/2NB3P/PqPB1PP1/R2QK2R b KQ - 1 12,f6d5 d3h7 g8h7 e5c4 d5c3 d1h5 h7g8 c4b2,2503,112,83,27,advantage opening sacrifice veryLong,https://lichess.org/sp2e99ib/black#24
Wix0g,r1bq1rk1/ppp2p2/n2p2pQ/3N3p/2Ppn2P/5N2/PP2BPP1/R3K2R b KQ - 1 12,c7c6 f3g5 e4g5 h4g5,1690,78,51,58,crushing middlegame short,https://lichess.org/HfvGeMUF/black#24
Wix6S,1k5r/p7/1p1qpQ2/3p4/1P1n1bB1/P6P/5PP1/5RK1 b - - 2 30,h8f8 f6d4,1327,129,-45,14,advantage hangingPiece middlegame oneMove,https://lichess.org/qSkK4NyQ/black#60
WixKA,4r3/5bk1/1p4p1/p2Np1q1/2Pb1pB1/1P5P/P2Q1PPK/5R2 w - - 8 43,g2g3 f4g3 h2g3 g5d2,1382,76,87,1288,crushing discoveredAttack middlegame short,https://lichess.org/kPQs69bL#85
WixZc,4r3/ppn2rkp/2p2pp1/4q3/P1QR2P1/4P2P/1P3PB1/3R2K1 b - - 0 26,c7e6 d4e4 e5b2 e4e6 e8e6 c4e6,1543,124,67,15,advantage long middlegame,https://lichess.org/QGnKLxUG/black#52
WixgY,2r2rk1/7n/p1n5/Pp1pPpP1/1PpP4/2P5/1B1K4/7Q b - - 0 41,g8g7 h1h6 g7g8 g5g6,1470,76,98,3215,advantage endgame short,https://lichess.org/BgvSaQCB/black#82
WixoO,2rr2k1/1pN1np2/p3P1p1/1p4Pp/1P1b1B1P/P7/5PK1/3RR3 b - - 2 26,d4b6 d1d7 b6c7 f4c7,2245,169,42,6,crushing middlegame short,https://lichess.org/YrU9GDjv/black#52
WiyG7,1r5k/p6p/5p2/1p4p1/7P/6P1/PPQN1qBK/R3b3 w - - 0 24,a1d1 f2g3 h2h1 g3h4,1134,111,40,22,advantage middlegame short,https://lichess.org/gAtvya7r#47
WiyPW,r4rk1/pp1b2p1/8/4pnqp/5p2/2P2P1P/PPQ2RPN/3RB1K1 b - - 1 28,f5e3 c2b3 d7e6 b3e6,1387,78,85,103,advantage kingsideAttack middlegame short,https://lichess.org/3LjpzQSh/black#56
WiyY6,r4rk1/pppq2pp/3p1b2/4p3/3nN1b1/3P1NP1/PPP2PBP/R2QR1K1 w - - 8 13,e4f6 f8f6 f3d4 g4d1,1586,78,72,46,crushing middlegame short,https://lichess.org/HcbrZ5C6#25
WiycQ,3r1r1k/pb1q2p1/1p2p2p/2p1bp1Q/3PpP2/1P2P1R1/PBP3PP/3R2K1 w - - 0 21,d4e5 d7d1 h5d1 d8d1,628,104,57,132,crushing kingsideAttack middlegame short,https://lichess.org/GmXVIy30#41
WiypV,2kr4/2q2ppp/2b5/2P3P1/1Q2pP2/3rB2P/PP2K3/3R3R w - - 5 24,d1d3 e4d3 e2d2 c6h1,1289,76,91,135,advantage discoveredAttack middlegame short,https://lichess.org/hASbUr0b#47
Wiyuo,r6k/p2b2rp/p2p4/P2P1p2/1Pn1pP1q/2N3N1/6PP/2RQ1RK1 w - - 0 24,c3e4 c4e3 d1d4 e3f1 c1f1 f5e4,1740,75,93,684,advantage fork long middlegame,https://lichess.org/uKbtHMWg#47
WizAj,r4rk1/p1pq1ppp/1bN5/6B1/P1Q1p3/2P5/1P3nPP/R3NK2 b - - 0 19,d7f5 c6e7 g8h8 e7f5,1016,78,87,98,crushing fork middlegame short,https://lichess.org/fGUUisxF/black#38
