PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl
4BCto,r2q3k/ppp3pB/3p3p/8/3b4/2N1BP1b/PnQ2P2/R3R1K1 w - - 0 20,e3h6 g7h6 c2g6 d8h4 e1e8 a8e8 g6e8 h8h7 e8e4 h4e4,2519,94,85,192,crushing hangingPiece middlegame veryLong,https://lichess.org/MTzevtAt#39
4BCyd,8/p2n2pk/3p1p1p/4pP1B/2PpP3/P2P1QRP/1rq3PK/8 b - - 4 32,c2d2 f3g4 d2g5 g4d1,2634,102,85,110,advantage defensiveMove endgame short,https://lichess.org/hX7lFSUt/black#64
4BD2K,rrR3k1/p4ppp/4p3/8/3P4/4P3/qPR2PPP/2Q3K1 b - - 6 24,b8c8 c2c8 a8c8 c1c8,674,100,71,53,backRankMate endgame mate mateIn2 short,https://lichess.org/gzxALr5j/black#48
4BD53,1r4k1/3q1p2/1p1P2p1/p1pQ3p/2P4P/1R4P1/5PK1/8 b - - 3 36,d7b7 d5b7 b8b7 g2f3,2559,83,81,199,advantage defensiveMove endgame short,https://lichess.org/nT1QXAGj/black#72
4BDNB,8/r4k1p/2p1p1p1/1rP1B3/p4R2/4P1PP/PP6/4K3 b - - 1 34,f7e7 e5d6 e7e8 f4f8 e8d7 f8f7,1421,75,94,1374,crushing endgame long,https://lichess.org/DSwmqdAM/black#68
4BDZL,2k3r1/p7/2P5/3p1b1p/3B2Pq/1P2P2P/P6Q/2R3K1 w - - 0 31,g1f1 f5d3 f1g1 h5g4 h2g2 d3e4,2019,99,82,25,crushing endgame long,https://lichess.org/dl0aolLX#61
4BDc3,6k1/6p1/1R4P1/1b2r3/8/8/P4K2/8 b - - 0 38,b5c4 b6b8 e5e8 b8e8,687,86,82,52,endgame mate mateIn2 short,https://lichess.org/K3a4FMUF/black#76
4BE0h,r3r1k1/5ppp/8/1qpp1Q2/p3n3/2P5/PP2RPPP/2B1R1K1 b - - 1 22,c5c4 e2e4 g7g6 f5g5 e8e4 e1e4 a4a3 e4e2,1500,500,100,0,crushing defensiveMove middlegame veryLong,https://lichess.org/zqiOQssq/black#44
