PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl
VvRNE,3r1r2/p4k2/7R/1p3p2/4Nq2/2P2P1Q/PP2K3/8 b - - 0 34,f5e4 h3e6 f7g7 e6g6,1572,75,100,1037,endgame mate mateIn2 short,https://lichess.org/3N7pbuen/black#68
XCnFG,4rq1r/1kpp1pb1/1p2p1np/3nP1B1/3P4/2P2N2/1PQN1PP1/R3K2R w KQ - 0 18,c2a4 e8a8 a4a8 f8a8 a1a8 h8a8,1888,77,84,78,advantage long middlegame,https://lichess.org/gYuYCmio#35
XCnGY,6k1/ppp5/1b1p2p1/3Ppr1p/1P2Q3/P2P2q1/R4PB1/5RK1 w - - 0 31,a2e2 f5f4 d3d4 f4e4,1797,87,70,26,advantage middlegame pin short trappedPiece,https://lichess.org/X6XJZWI5#61
XCnNY,3q2k1/1p3p2/3p1pb1/1p6/3rrBRQ/7P/P4PP1/R6K b - - 1 25,e4f4 g4f4 d4f4 h4f4,1139,88,98,135,advantage middlegame short,https://lichess.org/qEE5UvZi/black#50
XCnh0,r4r2/8/3p2k1/7p/1p1PP2R/1B3pP1/1B1q1P2/Q5K1 w - - 2 45,a1c1 d2c1 b2c1 a8a1,1391,76,76,180,crushing middlegame pin short,https://lichess.org/DxhtaQkT#89
XCnnU,r1b2r2/5p1k/p1nq1bpp/P2p4/1p2N3/3Q1N2/1PP3PP/R1B2RK1 b - - 3 22,d6d8 e4f6 d8f6 f3g5,1692,78,83,46,crushing middlegame short,https://lichess.org/rk269Nsu/black#44
XCnsE,r4r2/pppk2pp/6b1/3PR3/1BP5/N7/P5PP/6K1 b - - 2 27,f8f6 e5e7 d7d8 e7g7,1500,500,100,0,endgame equality short,https://lichess.org/KqTp4ye8/black#54
XCnym,r1br1b1k/pp3Bp1/1qpN1n1p/2n5/4P3/2N3BP/PPP2PP1/R2Q1RK1 w - - 1 15,f7b3 f8d6 g3d6 c5e4 c3e4 f6e4 d1f3 e4d6,2090,77,87,76,advantage middlegame veryLong,https://lichess.org/icKxHP78#29
XCo2w,8/2r5/6KP/3k2P1/8/8/8/8 b - - 4 61,c7c6 g6f5 c6c1 h6h7 c1f1 f5g4,2728,99,92,363,advancedPawn crushing defensiveMove endgame long rookEndgame,https://lichess.org/MIIvDaV2/black#122
XCoAn,r4rk1/pQ3ppp/5n2/2p5/1P6/P3P3/1q3PPP/RR4K1 b - - 1 18,f8b8 b7b8 a8b8 b1b2,1419,74,97,2075,advantage middlegame short,https://lichess.org/m7MJDqMp/black#36
