PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl
YKNVn,8/3R1rQk/3pN2p/p2P1p1q/4p3/P3n1PP/3r1bB1/2R4K b - - 2 33,f7g7 d7g7 h7h8 c1c8 h5e8 c8e8,1428,77,98,1263,long mate mateIn3 middlegame,https://lichess.org/NflyyEs7/black#66
YKNry,3r2k1/1b3p1p/p2rp1pP/1p2b3/6Q1/PBP5/1P3RP1/7K b - - 0 27,d6d2 f2d2 d8d2 g4g5,2380,83,61,74,crushing middlegame short,https://lichess.org/idKlFZal/black#54
YKNuW,2rr2k1/p4p1p/1pq1pp2/2p5/P1PPb3/4Q1P1/1B3P1P/2R1R1K1 b - - 1 22,e4h1 d4d5 e6d5 g1h1 d5d4 e3e4,1818,87,52,47,advantage interference long master middlegame trappedPiece,https://lichess.org/87lGtiup/black#44
YKO6M,r5k1/p2n1ppp/2Q1pn2/q2p4/3P2b1/2N5/r3PPBP/2R2KNR b - - 1 16,a2b2 c6a8 b2b8 a8c6,1736,76,84,68,advantage hangingPiece middlegame short,https://lichess.org/64i3wXyX/black#32
YKOOI,2r3k1/4p1b1/4PpR1/1p3P1q/3BQ3/1P2P3/r5P1/5RK1 w - - 1 30,f1f3 c8c1 f3f1 c1f1 g1f1 h5d1,1753,74,90,296,attraction long mate mateIn3 middlegame,https://lichess.org/4yym5BG8#59
YKOU3,r2qkbnr/1pp2ppp/p2p4/4N3/2BnPPb1/2N5/PPPP2PP/R1BQ1RK1 b kq - 0 8,g4d1 c4f7 e8e7 c3d5,1784,165,67,38,attackingF2F7 mate mateIn2 opening short,https://lichess.org/XEfpyHpL/black#16
YKOcB,4r1k1/p2N1p1p/6p1/4b3/P1p5/6P1/5P1P/1R4K1 w - - 1 31,d7e5 e8e5 b1b8 g8g7,1500,500,100,1,endgame equality short,https://lichess.org/c7dp75al#61
YKOf9,2r1r1k1/p5pp/2n5/2R5/1Pp5/2B1PR2/P5P1/6K1 w - - 3 27,c5c4 c6e5 c3e5 c8c4,1452,75,97,1831,advantage discoveredAttack endgame fork short,https://lichess.org/oDm1D52A#53
YKOyl,5rk1/ppp2qpp/2np2n1/3Np3/2P1B3/3PP1Pb/PP1QN2P/R5K1 w - - 5 18,e2c3 f7f1 a1f1 f8f1,1082,83,97,83,kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/iDlZBqaT#35
YKP4B,4r1k1/6p1/1P2p1rp/pR1p3q/P2PpR2/2p1P3/5QB1/5K2 w - - 2 36,b6b7 h5d1 f2e1 c3c2 b5c5 g6g2 f1g2 d1e1,2202,80,86,321,advancedPawn advantage deflection middlegame pin veryLong,https://lichess.org/pmfBCmFz#71
YKPJC,r2qk2r/ppp1bppp/2b2n2/4p3/4P3/2N2N2/PPPP2PP/R1BQ1RK1 w kq - 0 9,f3e5 d8d4 g1h1 d4e5,1434,77,92,531,advantage fork opening short,https://lichess.org/OE5IArxz#17
YKPLD,8/p1k3p1/Pp3p1p/1PpPrp2/2P4P/4RK2/6P1/8 b - - 3 29,c7d6 h4h5 e5e3 f3e3,2114,205,57,7,crushing endgame quietMove rookEndgame short,https://lichess.org/LPzpH04i/black#58
YKPwa,8/5pk1/1p2p1p1/2n1P3/1P3bPR/2Q5/3r2K1/8 w - - 1 50,g2f3 d2d3 c3d3 c5d3,1159,75,100,732,crushing endgame fork short,https://lichess.org/S2UYnr5i#99
YKQCb,r4k2/p6p/4rBp1/8/7P/5R2/K7/8 b - - 0 34,a8b8 f6e5 f8e7 e5b8,1500,500,100,0,discoveredAttack endgame equality short,https://lichess.org/rTulhMs3/black#68
