PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl
XgfUi,6k1/5ppp/1q2p3/1P1p4/8/7P/5nPK/Q7 b - - 1 36,f2e4 a1a8 b6b8 a8b8,777,96,87,61,backRankMate endgame mate mateIn2 short,https://lichess.org/zwQ2mK2U/black#72
XgfZ3,r1bq1rk1/ppp2ppp/1bn5/8/3PR3/5N2/PP3PPP/RNBQ2K1 b - - 0 11,b6d4 f3d4 c8f5 e4f4,1844,76,77,71,advantage opening short,https://lichess.org/EysbRw4c/black#22
Xgfas,8/2R5/1P6/P4pp1/5k1p/5P1K/1r6/8 w - - 0 43,b6b7 g5g4 f3g4 f5g4 h3h4 b2h2,1696,81,77,41,endgame exposedKing long mate mateIn3 rookEndgame,https://lichess.org/BschbMMt#85
Xgfdh,r2qk2r/1b1p1N2/ppn3p1/3pP3/2pb4/8/PPP1B1PP/R1BQ1RK1 w kq - 0 15,g1h1 h8h2 h1h2 d8h4,1677,75,91,548,attraction kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/ypfNBozu#29
Xgfds,5b2/2qr1n2/5k1p/P5p1/4Qp2/4pP2/1P4PP/2R1R2K b - - 6 32,c7d6 c1c6,1242,100,41,63,crushing middlegame oneMove pin,https://lichess.org/9D7t5dER/black#64
XgfkX,8/P6R/8/4p1p1/3k1p2/5P2/r5PP/5K2 w - - 1 47,g2g4 d4e3 h7e7 e3f3 e7e5 a2a7,2421,96,87,178,crushing endgame long rookEndgame,https://lichess.org/t84YyJol#93
Xgfm5,6r1/2k5/8/P2p1R2/1P1p2p1/1K1P4/2P5/8 w - - 0 45,f5d5 g4g3 d5e5 g3g2,1245,106,83,23,advancedPawn crushing endgame rookEndgame short,https://lichess.org/hCubYeqF#89
Xgg7F,rn2k2r/ppp2pp1/6p1/8/1P4Pq/2N2PB1/1PP1NK1P/3R3R b kq - 0 18,h4f6 c3d5,1560,76,72,131,crushing middlegame oneMove,https://lichess.org/5IBaWz1D/black#36
XggId,b7/p5r1/1p2p1k1/3pPpn1/2pP1P2/P7/1PPBB3/2K4R b - - 0 27,g5e4 e2h5 g6h7 h5f7,1775,74,93,150,discoveredAttack endgame mate mateIn2 short,https://lichess.org/xQzGTJFH/black#54
XggTH,6k1/p3q1p1/2r1p1Q1/1b2P3/1p1P4/1P5R/5r1P/K5R1 b - - 1 30,f2f7 g6h7 g8f8 h7h8,1048,85,71,45,mate mateIn2 middlegame short,https://lichess.org/xcD1LtkI/black#60
XggWO,r4nk1/1bp3p1/p1n1P2p/1p3p1P/1P1q1B2/P2B1P2/2P2Q2/4R1KR w - - 0 28,f4e5 c6e5 f2d4 e5f3 g1f2 f3d4,1932,78,92,305,advantage exposedKing fork long middlegame sacrifice,https://lichess.org/WwoDe9nD#55
XggZJ,r1b1kb1r/ppp2ppp/2n5/3qp3/4N3/5N2/PPPP1PPP/R1BQK2R w KQkq - 0 7,e1g1 d5e4,818,92,85,180,advantage hangingPiece oneMove opening,https://lichess.org/dKDVXR6n#13
XggjR,r2qkb1r/ppp1pp2/2n5/3p3p/2PP2p1/4PQPP/PP4P1/RN2KB1R w KQkq - 0 11,h3g4 h5g4 f3g4 h8h1,1430,75,95,653,crushing discoveredAttack middlegame short,https://lichess.org/7q63QhFd#21
Xggox,5rk1/pp1qbpp1/2rp1n1p/4p3/2Q1P3/2N2N2/P1P2PPP/R1B2RK1 w - - 0 15,c4b5 c6c3 b5d7 f6d7,1228,280,54,2,advantage hangingPiece middlegame short,https://lichess.org/oCyZG9Bm#29
XggqU,5rk1/8/np2p1Np/5p1Q/3qp3/P1R5/6PP/5K2 b - - 1 34,d4c3 g6e7 g8g7 h5g6 g7h8 g6h6,1378,75,99,2322,deflection endgame exposedKing long mate mateIn3,https://lichess.org/7lEj87kq/black#68
Xggt2,1r4k1/1r3pp1/bb2p2p/p2pP2P/P2N1PPq/1P1pB2N/1R1Q4/1R4K1 w - - 2 37,h3f2 b6d4 e3d4 b7b4 d2e3 b4d4 e3d4 h4g3 g1h1 b8b4 d4a7 a6b7 b1g1 d5d4 a7b7 g3h4 h1g2 b4b7,2356,96,72,73,advantage clearance discoveredAttack exposedKing middlegame quietMove sacrifice veryLong,https://lichess.org/X0qKYcO8#73
Xgguh,5rk1/5r1p/p2Q2p1/1p2n1b1/3Nq3/1BP5/PP4PP/5RK1 b - - 1 24,g5f4 b3f7 f8f7 d6d8,1500,500,100,0,equality kingsideAttack middlegame short,https://lichess.org/u0zfjHot/black#48
Xggx3,r4rk1/ppp3p1/3p3p/3Np1Nq/3nPpPP/3PnP2/PP6/2R1QRK1 b - - 0 21,h5g6 d5e7 g8h8 e7g6,1171,84,76,47,crushing fork middlegame short,https://lichess.org/bGMHoNud/black#42
XggzZ,r3kb1r/pp4pp/2p2nb1/3pP1B1/8/2N5/PPP1B1PP/2KR1R2 b kq - 0 15,f6e4 c3d5 e4g5 d5c7 e8e7 c7a8,1965,108,41,21,crushing exposedKing fork long middlegame sacrifice,https://lichess.org/cO0Ih2IT/black#30
Xgh5q,r4rk1/1b4p1/1p5p/P1qp1p2/4n3/P2B1P1P/2PNQ1P1/R3R1K1 w - - 1 21,g1h1 e4g3 h1h2 g3e2,1224,90,-33,47,crushing fork middlegame short,https://lichess.org/VtVnY06X#41
XghBY,r3k3/1p3p2/p5p1/5bP1/3pp3/8/PP1K1R1P/4R3 w q - 0 32,f2e2 e4e3 e2e3 d4e3,1064,79,95,374,crushing endgame short,https://lichess.org/8RbWBrq4#63
XghGG,5k2/p3bp1p/4p1p1/2ppP3/Q2Pq3/2P1B1P1/P4P1P/5K2 b - - 5 28,c5d4 e3h6 f8g8 a4e8 e7f8 e8f8,1362,77,83,470,endgame fork long mate mateIn3,https://lichess.org/hSfg0scj/black#56
XghKe,3r4/3P4/p4k2/1pN4p/1P3K2/2P2P2/8/8 b - - 3 43,f6g6 c5e6 d8d7 e6f8 g6f7 f8d7,1218,79,90,99,crushing endgame fork long,https://lichess.org/y68vahpG/black#86
XghXL,3r1rk1/pp3pp1/2nQbq1p/4p3/4P3/5N1P/PPP1BPP1/R4RK1 w - - 1 15,d6c7 d8d7 c7d7 e6d7,1714,74,95,1845,crushing middlegame short trappedPiece,https://lichess.org/h4YfXX2U#29
XghmU,5rk1/pp3N1p/3p1Qp1/3P1b2/2q2P2/8/P5PP/4R1K1 b - - 0 25,f8f7 e1e8 f7f8 f6f8,1371,78,92,228,endgame mate mateIn2 short,https://lichess.org/n9jZS9PC/black#50
Xghn4,8/p4Qp1/5p1p/3p4/6Pk/1P6/P3KPP1/7q b - - 0 42,h1g2 f7h5,1090,127,58,17,endgame mate mateIn1 oneMove queenEndgame,https://lichess.org/IrjEGGTJ/black#84
XghnY,8/1q1b4/5k2/p1p1b1p1/PpPpPpP1/1P1P1N2/5K2/4Q2B b - - 2 42,d7g4 f3e5 f6e5 e1g1 b7h7 g1g4,1692,85,50,27,crushing endgame long,https://lichess.org/qh4srI5b/black#84
XghtJ,8/p1p3b1/1pPp1k2/3PpBpp/PP2P3/5K1P/6P1/8 b - - 3 35,a7a5 b4a5 g5g4 f5g4 b6a5 g4h5,2350,103,75,35,bishopEndgame crushing endgame long master,https://lichess.org/HdGdGooC/black#70
XghvD,2k1rb1r/ppp3pp/3q1p2/3b4/3pN1PB/P2P1Q1P/1PP2P2/2KR3R b - - 5 17,c8b8 e4d6 d5f3 d6e8,882,78,100,253,crushing middlegame short,https://lichess.org/vSGW50ic/black#34
Xgi1c,3rrk2/p4p2/2p2P2/1p4P1/2Bp4/P4p2/2P2P2/2K4R b - - 1 26,f8g8 g5g6 b5c4 g6g7 e8e1 h1e1,1696,74,93,434,advancedPawn crushing endgame long pin sacrifice,https://lichess.org/c8HzuM4c/black#52
XgiWW,5r2/8/4pk2/1p3rp1/2p5/Pn2RNP1/1P4KP/3R4 w - - 4 33,f3e5 f5e5 d1f1 e5f5,1078,84,64,39,crushing endgame short,https://lichess.org/l8pRmGO8#65
Xgib2,8/5pkp/5bp1/3p4/5n2/Q1N4P/PPq2P2/K2R4 b - - 9 39,f6c3 a3c3 c2c3 b2c3,1169,75,95,653,advantage endgame short,https://lichess.org/wZGJ4EtQ/black#78
Xgidf,6k1/pp2r1pp/n1p5/5pN1/8/2P4P/P4PP1/3R2K1 b - - 1 25,h7h6 d1d8 e7e8 d8e8,730,92,58,61,endgame mate mateIn2 short,https://lichess.org/tLcUPvw6/black#50
Xgj15,8/3k2p1/7p/1bB1R3/5N2/1p4P1/1r6/6K1 w - - 0 36,c5f2 b2b1 g1h2 b5c6,2022,75,92,330,advantage defensiveMove endgame short,https://lichess.org/l2Zcu5HT#71
Xgj3a,1q4k1/p2Q3p/2p2p2/8/3Pb1P1/2P4K/PP5P/8 b - - 4 47,b8f8 d7e6 f8f7 e6e4,1232,76,50,169,advantage endgame fork short,https://lichess.org/v0ObJTqZ/black#94
Xgj4d,5rk1/1q2b1pp/p4p2/1p1np3/2r5/1Q3NP1/PP1BPPKP/2RR4 b - - 1 24,e5e4 c1c4,1255,76,97,368,crushing middlegame oneMove,https://lichess.org/82UnOT7R/black#48
XgjQt,r4rk1/ppp2ppp/6nq/7R/2B1P3/P1p4Q/1PP2PPP/1K5R b - - 0 17,g6f4 h5h6 f4h3 h6h3,1456,76,76,148,crushing middlegame short,https://lichess.org/TDc65Tm1/black#34
XgjXs,3r1rk1/1p2p1n1/p4p1Q/q3p3/2P1P1p1/1PN3R1/P7/4K2R b K - 5 25,d8d4 h6g6 f8d8 g6g4 d4d1 g4d1 d8d1 e1d1,2446,96,76,72,advantage middlegame veryLong,https://lichess.org/HvDyrUW2/black#50
XgjaR,Q1b2rk1/P4pp1/3p3p/4p3/2P5/2P2N1P/6q1/RN1K2b1 b - - 0 21,c8h3 a8f8 g8f8 a7a8q,1456,77,83,166,advancedPawn advantage attraction middlegame promotion short,https://lichess.org/Fn4DlSY0/black#42
Xgjw8,r1b1kbnr/pp3ppp/4p3/3p4/3nP3/4BP2/Pq4PP/RN1QKBNR w KQkq - 0 9,e3d4 f8b4 b1d2 b2d4,1695,74,93,112,advantage interference intermezzo opening short,https://lichess.org/LP5vwGwX#17
XgkML,rnbk1b1r/pp1q1Bp1/3P1n1p/2p3N1/3p4/8/PPP2PPP/RNBQ1K1R w - - 1 10,f7e6 d7b5 c2c4 d4c3,1939,74,91,154,advantage discoveredAttack enPassant opening short,https://lichess.org/0K75MVtm#19
XgkRX,8/8/8/2p5/1p1b1R2/1P1P4/2k2pK1/5B2 w - - 0 68,f4d4 c5d4 g2f2 c2b3 f2f3 b3b2 f3e4 b4b3,2781,96,94,512,crushing endgame hangingPiece veryLong,https://lichess.org/j0QA4pNc#135
XgkaC,1r4k1/5ppp/b7/3q4/8/4RPKP/6P1/5r2 b - - 4 33,b8b3 e3e8,1078,469,-100,1,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/LUFzc6vC/black#66
Xgkp2,r3kbnr/pp3ppp/2b1p3/q7/3Q4/2N1BN2/PPP2PPP/R3K2R b KQkq - 1 10,f8b4 d4g7 e8c8 g7h8,1414,93,77,29,crushing middlegame short trappedPiece,https://lichess.org/tnaBvq2G/black#20
XgkpB,5rqr/1pp5/p3pQ2/2PkN3/3Pp2p/1P2P2P/P4PP1/n1B2K1R w - - 4 25,f6e7 h8h7 e5g6 f8f5 c5c6 d5c6,2366,91,79,41,advantage long middlegame,https://lichess.org/rfYRI6wm#49
Xgkyi,6k1/1p3p1p/p2p1PpB/2pPq3/2P4P/3P3B/PP3R2/7K w - - 1 29,h3g4 e5g3 f2e2 g3h4 h1g1 h4g4,2054,75,82,116,advantage endgame exposedKing fork long,https://lichess.org/6NAf456X#57
Xgl8w,3r2k1/7p/4pQp1/P7/4q3/5rP1/5PKP/R7 w - - 0 38,f6d8 f3f8 g2g1 f8d8,1116,76,95,280,crushing discoveredAttack endgame short,https://lichess.org/7520dDWt#75
XglAI,1q4k1/r2r2R1/p1pb1P1Q/1pp5/4P2P/2NP1p2/PPP5/2K3R1 b - - 0 29,d7g7 g1g7 a7g7 h6g7,1588,74,91,462,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/OO3A7TCo/black#58
XglKf,4r1k1/pp4p1/7p/3p1p1P/2n5/2P1rBR1/P1P2K1P/6R1 b - - 1 26,e3c3 f3d5 g8f8 g3c3,1553,75,96,1211,crushing discoveredAttack endgame short,https://lichess.org/1raRG4HE/black#52
XglNo,5rk1/2qrbpp1/p1b1p2p/2p5/2P1NP2/1P5P/PB2Q1P1/3R1RK1 w - - 1 22,e2e1 d7d1 e1d1 c6e4,1435,75,96,374,crushing middlegame short,https://lichess.org/dE60Rq3Y#43
XglPA,r1bq1rk1/pp5p/3p2p1/2pP4/1nP1p1P1/NPK1B2P/P2N1P2/3R1Q1R w - - 1 23,f1g2 d8f6 e3d4 f6d4,1644,75,81,109,mate mateIn2 middlegame short,https://lichess.org/FlZM9UhP#45
Xgldg,6rk/pb1p1pqp/1p2n3/2P1P3/4P2Q/2PB1N1P/P4Pr1/2R3RK w - - 6 27,g1g2 g7g2,1034,108,82,14,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/lKdpPAph#53
XglfN,r2qr1k1/4bp2/p1n2n1Q/1ppp4/8/1BPP1N1P/PP3PP1/R3R1K1 b - - 0 18,e7f8 e1e8 f6e8 h6c6,1934,74,94,1808,advantage middlegame pin short,https://lichess.org/60EGF6Q2/black#36
XgllS,r5k1/2p2p2/Bbnp3p/6p1/Q2P2r1/2P1P3/4KPqP/R2R4 b - - 7 24,c6b8 a4e8 g8g7 a6c4 g4f4 e3f4,2096,76,95,909,crushing long middlegame,https://lichess.org/pa6yg9ZS/black#48
XglnZ,r3r1kb/1b1nqp1p/p2p1npB/1p1P2P1/1P2p3/P1N1QB1P/2P2P1N/3RR1K1 b - - 0 21,e4f3 e3e7 e8e7 e1e7,866,81,81,96,crushing middlegame short,https://lichess.org/dzW48uh7/black#42
XglpC,6rk/6pp/2Q1p3/1B4n1/4Pp2/P4P1P/1PP3Pq/3R1K2 w - - 9 28,f1e2 h2g2 e2d3 g2f3,1321,96,-78,42,crushing deflection endgame short,https://lichess.org/9xtnUBhf#55
Xglr3,8/8/7k/5b2/1p1rNb1K/1P1B4/P1P5/4R3 w - - 13 52,e4f2 f4d2 e1e4 d2e1,2105,129,45,10,advantage discoveredAttack endgame pin short,https://lichess.org/mtBHM1La#103
Xgm6d,r4rk1/1p3ppp/3p3q/p1pN4/3nPP2/PP1PQ1PP/1B4K1/5R2 b - - 2 31,d4b3 d5e7 g8h8 e7f5,1725,74,91,911,advantage middlegame short,https://lichess.org/9MkvBhpM/black#62
Xgm7I,2r2rk1/3b1ppp/4p3/n2pP2N/1p1P3P/pP3NR1/P4PP1/1K1R4 b - - 2 24,d7b5 g3g7 g8h8 f3g5,1840,75,93,844,crushing kingsideAttack middlegame short,https://lichess.org/SuchZFdi/black#48
Xgm7k,7k/1b1rb1p1/5p1p/p1p1p2P/1pB3PN/3P2K1/PP6/4R3 b - - 6 33,e7d8 h4g6 h8h7 g6f8,1143,77,90,189,crushing endgame kingsideAttack master short,https://lichess.org/dRX8V1oG/black#66
XgmA5,2r3k1/5pbp/p2R2p1/1p2p3/4r1P1/P1P1B3/1P2N2P/2K4R w - - 0 22,d6d3 e4e3 d3e3 g7h6 c1c2 h6e3,1529,78,87,87,advantage attraction long middlegame pin sacrifice,https://lichess.org/PSTmvJPz#43
XgmPm,r2q1rk1/ppp2pp1/1bn4p/3p1Q2/3P4/P2B4/1P1n1PPP/RNB1R1K1 b - - 0 13,d2b1 f5h7,1108,80,90,434,mate mateIn1 oneMove opening,https://lichess.org/zKetW0st/black#26
XgmQe,6q1/1p1k1p2/p3p3/3PpQ2/PP2r3/N1P4p/6r1/2RK3R w - - 0 40,d5e6 d7e7 f5f7 g8f7 e6f7 h3h2,1778,219,33,6,advancedPawn crushing defensiveMove long middlegame,https://lichess.org/3OxbzKI1#79
XgmX5,3r2rk/p5q1/bp2p2p/5p2/1Rnp1Q1N/P5P1/5P1P/3R3K b - - 1 28,g7g4 f4h6,1457,77,84,153,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/hPLI963B/black#56
Xgmua,2N5/4k1p1/4p2p/2K1P3/r2P4/7P/6P1/8 b - - 7 39,e7d7 c8b6 d7d8 b6a4,777,210,27,9,crushing endgame fork short,https://lichess.org/gOQiLdaY/black#78
Xgn7C,8/p7/4PNQ1/kp6/5P2/2P4P/PP1qp1PK/8 w - - 0 33,e6e7 d2f4 g6g3 f4g3 h2g3 e2e1q,1694,74,98,2084,advancedPawn attraction crushing endgame long promotion,https://lichess.org/RfNIROvE#65
XgnDn,1r4k1/qb3pp1/4p2p/3pP3/3P1P2/2QBK1P1/2R4P/8 b - - 14 32,b7a8 c3c8 b8c8 c2c8,1092,80,86,125,endgame mate mateIn2 sacrifice short,https://lichess.org/8dYpJlTu/black#64
XgnUB,r5k1/1p1q2pp/p2Ppp2/4Q3/1P6/P5P1/5P1P/2R3K1 w - - 0 30,c1c7 d7c7 e5e6 c7f7,1494,75,93,177,crushing endgame short,https://lichess.org/iOAXRir0#59
XgngF,6k1/7p/p2pp1p1/2p5/2P3nq/1R3r2/P3QP1N/5R1K w - - 4 26,h1g2 h4h3 g2g1 h3h2,1739,74,90,412,mate mateIn2 middlegame short,https://lichess.org/w8Fe3kJB#51
XgniH,6k1/2p2p2/p2p1q2/1p1P4/6P1/1P2r1B1/P3rPK1/1R1Q3R w - - 1 31,h1h3 e3g3 h3g3 f6f2 g2h3 f2h2,1861,74,90,226,long mate mateIn3 middlegame pin,https://lichess.org/TWPB60DT#61
Xgntj,r4k2/1b1p1ppp/5n2/q1p5/3pP3/PR3QP1/2P2PBP/2K1R3 w - - 2 21,e1d1 b7e4 f3f4 e4g2 f4d6 f8g8 b3b8 f6e8,1951,107,81,14,advantage middlegame skewer veryLong,https://lichess.org/udS0324s#41
Xgo35,r5k1/5ppp/p1b3q1/3p4/P1p4r/2P2Q2/B2N1PPP/R4RK1 w - - 4 22,a2c4 d5c4 f3g3 h4g4,1724,74,98,2169,advantage middlegame short,https://lichess.org/DtB7ZqK6#43
XgoE0,2r5/1p1k1ppp/p3p3/3pP3/1br2PP1/P7/1PP1N2P/2KR3R w - - 1 20,a3b4 c4c2 c1b1 c2e2,1144,77,93,116,crushing endgame fork short,https://lichess.org/1gG1iiYt#39
XgoL1,r5q1/p2n2k1/1p1p1npR/1PpPp3/4PP2/3B1KNQ/PP6/8 b - - 8 35,a8e8 f4f5 g6g5 h6g6 g7f7 g6g8,1851,198,57,7,crushing long middlegame skewer,https://lichess.org/l8Aga4cy/black#70
XgoLB,4q3/ppb1kpQ1/2n5/3r2N1/3P1pb1/8/PPPB2PP/5RK1 b - - 0 19,e7d8 g5f7 d8c8 g7g4,1632,83,84,57,advantage discoveredAttack middlegame short,https://lichess.org/PQ6J8Dlx/black#38
XgorF,rnbqnrk1/ppp3bp/5pp1/4P3/8/2PB1N2/PP3PPP/RNBQ1RK1 b - - 0 10,f6e5 d3c4 g8h8 d1d8,1354,74,96,2029,crushing discoveredAttack opening short,https://lichess.org/rwY7SLfi/black#20
