PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl
VvRNE,3r1r2/p4k2/7R/1p3p2/4Nq2/2P2P1Q/PP2K3/8 b - - 0 34,f5e4 h3e6 f7g7 e6g6,1572,75,100,1037,endgame mate mateIn2 short,https://lichess.org/3N7pbuen/black#68
XgaLs,6k1/p2R2pp/2R5/8/8/4rPK1/r7/8 b - - 1 27,a2a3 c6c8 e3e8 c8e8,1061,76,100,403,endgame mate mateIn2 rookEndgame short,https://lichess.org/csXvhCpT/black#54
XgaTL,rnb1kbnr/pp1p1ppp/4p3/2p1N3/3PP3/q1P5/P2B1PPP/R2QKB1R b KQkq - 1 7,d7d6 f1b5 c8d7 e5c4 d7b5 c4a3,2169,76,85,309,advantage long opening trappedPiece,https://lichess.org/jXGUdN5f/black#14
XgaTN,r1qr2k1/5pp1/2b1P2p/2p2P2/p1B3Q1/2n5/2P3PP/R3R1K1 b - - 0 26,d8d4 e6f7 g8f8 g4g6 c3e4 g6h7 d4c4 h7g8,2351,89,79,41,advancedPawn advantage kingsideAttack middlegame sacrifice veryLong,https://lichess.org/Ji6CiJBj/black#52
Xgaqa,3r1rk1/ppq2pp1/5pn1/2p2N2/4QB2/2P5/PP3PP1/R3R2K b - - 0 20,c7f4 f5e7 g8h7 e7g6 f4h6 g6h4,1933,74,85,126,advantage discoveredAttack kingsideAttack long middlegame,https://lichess.org/Bi9cEIqS/black#40
XgbSR,1r3rk1/p1p1q1pp/1p3p2/8/4P3/4B1QP/P1n2PP1/1RR3K1 b - - 1 21,c2e3 c1c7 e7c7 g3c7,1490,76,88,71,advantage middlegame short,https://lichess.org/YzJh4EFM/black#42
XgbcW,R2Q4/P5pp/2p1q1k1/6r1/3P1p2/3p1P2/3BnPKP/5R2 w - - 1 33,g2h1 e6h3 d8g5 g6g5 f1g1 e2g1,1979,75,95,1054,advantage long middlegame,https://lichess.org/pxMf1hgB#65
XgbkB,2Q5/2B1rppk/7p/p1p5/Pb6/1P3P1P/4q1P1/3R2K1 w - - 4 31,c8f5 g7g6 f5d3 e2d3,1453,74,95,823,crushing defensiveMove endgame short,https://lichess.org/dPNaAfwr#61
XgbnY,2krr2n/3b1p2/p1pQ4/2pN1P2/4P3/8/PPPqB1PP/R5K1 b - - 1 23,c6d5 e2a6,1401,75,94,742,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/vCYCPuh9/black#46
XgcBn,8/5k2/4p3/5p2/P2B4/3r2Pp/1R2bP1P/6K1 w - - 1 35,b2e2 d3d1 e2e1 d1e1,837,84,100,136,endgame fork mate mateIn2 short,https://lichess.org/9BbSyZJb#69
XgcZ4,r1b2rk1/2b2ppp/p1Nq4/1p1p4/2pP3B/2P4P/PPBNnPP1/R2QR1K1 w - - 1 17,e1e2 d6h2 g1f1 h2h1,1149,217,56,4,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/pweCKaeQ#33
XgcZN,8/2k5/2p3R1/3p2p1/P3n3/1P6/2r5/4K2R w - - 0 47,h1f1 c2c1 e1e2 e4g3,1393,76,79,247,crushing endgame short,https://lichess.org/2PVALxf0#93
Xgd2j,3r3r/p1kn2pp/2p5/8/3q4/8/PPQNRP1P/2R4K b - - 3 23,d7e5 e2e5 d4e5 c2c6 c7b8 c1c5 e5c5 c6c5,2243,83,91,421,advantage middlegame veryLong,https://lichess.org/WBJhwuY1/black#46
Xgd9y,r1bqk2r/ppp2ppp/8/8/1b1pP3/2nP2P1/PPQ2P1P/R1B1KB1R w KQkq - 0 10,b2c3 b4c3 c1d2 c3a1,1198,115,49,18,crushing fork middlegame short,https://lichess.org/M0dHD0si#19
XgdGW,r4rk1/2q2ppp/p7/2p5/1pPpP1QB/7P/PP4P1/2R3K1 b - - 0 26,d4d3 h4f6 g7g6 g4g5,1855,102,85,17,crushing endgame pin short,https://lichess.org/LV4qPAha/black#52
XgdRu,7k/2p2pr1/p2b1Q1p/2p4r/1pP3qN/1P2P1P1/P4P1P/3R2RK b - - 2 34,h5h4 g3h4 g4e4 f2f3,1985,75,96,2312,crushing middlegame short,https://lichess.org/3PyfHCdW/black#68
Xgdet,r1r3k1/p1PR1pp1/7p/1pQ1p3/1Pb1Pq2/2R2PN1/P6P/6K1 w - - 5 33,d7d8 c8d8 c7d8r a8d8,641,104,82,127,advantage middlegame short,https://lichess.org/YzBZAIy6#65
XgdiM,r2q1rk1/p3bppp/1np1pn2/1p2N1B1/1P1PP3/PQN5/5PPP/R4RK1 b - - 4 16,d8d4 e5c6 d4d6 c6e7,1828,74,92,223,crushing fork middlegame short,https://lichess.org/nXdX263E/black#32
Xgdmd,r1b2rk1/p2p2pp/2p5/4Pp2/3q4/4R1Q1/PPP2KPP/RNB5 w - f6 0 17,g3f3 f5f4 f2e1 f4e3,1391,76,91,1088,crushing middlegame short,https://lichess.org/6bu6t3VT#33
Xgdoa,rn3rk1/1p4pp/p2R4/2p5/8/2B2b2/PP3PPP/4R1K1 b - - 0 19,f3c6 e1e7 f8e8 e7g7 g8f8 g7h7,2133,78,86,50,advantage deflection long middlegame,https://lichess.org/FYpGF26H/black#38
Xge0c,3r2k1/1p3p1p/2q3p1/4R3/1P6/4P1P1/1Q3P1P/6K1 w - - 1 33,h2h4 d8d1 g1h2 d1h1,1019,83,100,64,endgame mate mateIn2 short,https://lichess.org/2uHcpZsg#65
Xge2P,1r1r2k1/5ppp/p7/3PP3/q7/2R3QP/5PP1/3R2K1 w - - 2 24,c3c7 a4d1,852,94,95,167,crushing endgame hangingPiece oneMove,https://lichess.org/uwvEXpLj#47
XgeAZ,8/1p3p2/p3kb1p/1PP3p1/PB1p2P1/3K3P/8/8 b - - 1 36,e6d5 c5c6 f6e5 c6b7 a6b5 a4b5,2043,88,84,36,advancedPawn bishopEndgame crushing endgame long,https://lichess.org/MMfFy7uD/black#72
XgeBC,r6k/p1Q2Rpp/3p4/4p3/5bPq/5R2/P4PK1/8 w - - 0 32,f3h3 h4g4 h3g3 f4g3,1412,75,97,1063,advantage endgame short,https://lichess.org/4TKw8Et0#63
XgeK9,1r2bR2/6qk/2p5/p1Qp2p1/Pr1PP1P1/4P3/6P1/5RK1 b - - 4 35,b4b1 c5d6 b1f1 g1f1 b8b1 f1e2 e8f7 d6h2 h7g6 f8h8,2709,110,82,202,crushing defensiveMove exposedKing middlegame veryLong,https://lichess.org/5U0EdvQS/black#70
XgeVZ,4r1k1/1p1b1ppp/1p3q1n/2p1P1NQ/8/1B4PP/P7/5RK1 b - - 0 27,f6e5 b3f7 g8h8 f7e8,1723,75,95,1940,crushing fork middlegame short,https://lichess.org/EwqDESlG/black#54
Xgec5,2kr3r/pppn1ppp/5q2/4Np1Q/3P4/8/PPP2P1P/2K1R1R1 w - - 4 16,e5f7 g7g6 f7d8 g6h5,1365,76,93,755,crushing middlegame short,https://lichess.org/XSe4CmdQ#31
Xgeqq,8/ppp1k3/3p1p2/4p3/3NP3/BP1P2r1/P1rN4/R4K2 b - - 0 21,c2d2 d4f5 e7e6 f5g3,1007,77,100,256,advantage endgame fork short,https://lichess.org/bHGMrVAR/black#42
XgerC,r3r1k1/2p2pp1/pp2q2p/3p1N2/P4QP1/2Pn3P/1P3PK1/1R2R3 w - - 2 29,f4c7 d3e1 b1e1 e6e1,1539,76,86,171,crushing middlegame short,https://lichess.org/SupvdhjU#57
Xgerx,1k6/ppp1r3/7p/3q4/1P4Q1/P2P1nNB/2P2P2/R5K1 w - - 4 28,g1f1 f3h2 f1g1 h2g4,1238,77,95,1521,crushing fork middlegame short,https://lichess.org/WNAaxRKN#55
Xgesz,rn1k1b1r/4p2p/p4p2/q2p3Q/p1BPbB2/4PP2/1P4PP/R2K3R b - - 0 18,e4g6 h5d5 a5d5 c4d5,958,78,91,260,advantage fork middlegame short,https://lichess.org/0DsY7YSZ/black#36
Xgf84,4r3/pp3pkp/2p3p1/8/5PN1/7P/PPP1rPB1/1K3R2 w - - 3 24,g4e3 e8e3 f2e3 e2g2,1480,75,94,531,advantage capturingDefender endgame short,https://lichess.org/Af8cen8Z#47
XgfFe,8/pp3R2/4p1k1/3p2P1/2pP4/2P3NK/PP6/4n1q1 b - - 0 39,g6g5 f7g7 g5h6 g3f5 e6f5 g7g1,1374,77,93,2066,advantage discoveredAttack endgame long,https://lichess.org/FzhWiWqZ/black#78
